IMO number,MMSI,Name of the ship,Former names,Vessel type,Operating status,Flag,Gross tonnage,Deadweight,Length,Breadth,Engine type,Year of build,Builder,Classification society,Home port,Owner,Manager,Description,Engine model,Engine power
9431290,566141000,MAERSK KATARINA,,Chemical/Oil tanker,Active,Singapore,24463 tons,39724 tons,183 m,27 m,B&W,2011,"GUANGZHOU INTERNATIONAL SHIPYARD - GUANGZHOU, CHINA",AMERICAN BUREAU OF SHIPPING,,MAERSK TANKERS SINGAPORE - SINGAPORE,MAERSK TANKERS SINGAPORE - SINGAPORE,"MAERSK KATARINA is a Chemical/Oil tanker built in 2011 by GUANGZHOU INTERNATIONAL SHIPYARD - GUANGZHOU, CHINA. Currently sailing under the flag of Singapore. It's gross tonnage is 24463 tons.",,9480 KW
9267003,310487000,LNG OYO,,LNG carrier,Active,Bermuda,97561 tons,83068 tons,285 m,43 m,,2005,"DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - SEOUL, SOUTH KOREA",LLOYD'S SHIPPING REGISTER,HAMILTON,"BW GAS - OSLO, NORWAY","BW FLEET MANAGEMENT - LYSAKER, NORWAY","LNG OYO is a LNG carrier built in 2005 by DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - SEOUL, SOUTH KOREA. Currently sailing under the flag of Bermuda. It's gross tonnage is 97561 tons.",,
9377054,228330900,LAMENTIN,"LAMDNTIN                                                                               (2017, France)                          LAMENTIN                                                                               (2010, Antarctica)",LPG carrier,Active,France,7292 tons,11320 tons,119 m,20 m,,2007,"TERSAN SHIPYARD - ISTANBUL, TURKEY",BUREAU VERITAS,MARSEILLES,"ST MANAGEMENT - MERIGNAC, FRANCE","ST MANAGEMENT - MERIGNAC, FRANCE","LAMENTIN is a LPG carrier built in 2007 by TERSAN SHIPYARD - ISTANBUL, TURKEY. Currently sailing under the flag of France. Formerly also known as LAMDNTIN, LAMENTIN. It's gross tonnage is 7292 tons.",,
9465291,373068000,MSC REGULUS,"MS                                                                               (2018, Panama)                          MSC ZEGULUS                                                                               (2017, Panama)                          ZHIYUAN818                                                                               (2017, China)                          E.R.REGULUS                                                                               (2012)",Container ship,Active,Panama,141635 tons,140951 tons,366 m,48 m,,2012,"HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA",GERMANISCHER LLOYD,,"MSC MEDITERRANEAN SHIPPING - GENEVA, SWITZERLAND","MSC MEDITERRANEAN SHIPPING - GENEVA, SWITZERLAND","MSC REGULUS is a Container ship built in 2012 by HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Panama. Formerly also known as MS, MSC ZEGULUS, ZHIYUAN818, E.R.REGULUS. It's gross tonnage is 141635 tons.",,
9290402,352688000,FELIXSTOWE BRIDGE,SANTA PAOLA                                                                               (2013)                          MAERSK DRISCOLL                                                                               (2010)                          P&O NEDLLOYD DALIAN                                                                               (2005),Container ship,Active,Panama,54809 tons,67310 tons,294 m,31 m,B&W,2005,"HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA",GERMANISCHER LLOYD,MONROVIA,"OFFEN REEDEREI - HAMBURG, GERMANY","OFFEN REEDEREI - HAMBURG, GERMANY","FELIXSTOWE BRIDGE is a Container ship built in 2005 by HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Panama. Formerly also known as SANTA PAOLA, MAERSK DRISCOLL, P&O NEDLLOYD DALIAN. It's gross tonnage is 54809 tons.",8K90MC,45765 KW
9246578,224263000,CADIZ KNUTSEN,,LNG carrier,Active,Spain,90835 tons,77228 tons,284 m,42 m,,2004,"NAVANTIA CARENAS PUERTO REAL - PUERTO REAL, SPAIN",LLOYD'S SHIPPING REGISTER,SANTA CRUZ DE TENERIFE,"KNUTSEN OAS SHIPPING - HAUGESUND, NORWAY","KNUTSEN OAS SHIPPING - HAUGESUND, NORWAY","CADIZ KNUTSEN is a LNG carrier built in 2004 by NAVANTIA CARENAS PUERTO REAL - PUERTO REAL, SPAIN. Currently sailing under the flag of Spain. It's gross tonnage is 90835 tons.",,
9461374,371753000,MSC ALEXANDRA,,Container ship,Active,Panama,153115 tons,165908 tons,365 m,51 m,MAN-B&W,2010,"DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - GEOJE, SOUTH KOREA",GERMANISCHER LLOYD,,"MEDITERRANEAN SHIPPING - SORRENTO, ITALY","MEDITERRANEAN SHIPPING - SORRENTO, ITALY","MSC ALEXANDRA is a Container ship built in 2010 by DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Panama. It's gross tonnage is 153115 tons.",,72060 KW
9307346,308371000,LARVIK,,Crude oil tanker,Active,Bahamas,35711 tons,61213 tons,213 m,32 m,,2006,"SUMITOMO HEAVY INDUSTRIES - TOKYO, JAPAN",LLOYD'S SHIPPING REGISTER,NASSAU,"BERGSHAV - GRIMSTAD, NORWAY","BERGSHAV - GRIMSTAD, NORWAY","LARVIK is a Crude oil tanker built in 2006 by SUMITOMO HEAVY INDUSTRIES - TOKYO, JAPAN. Currently sailing under the flag of Bahamas. It's gross tonnage is 35711 tons.",,
9210098,636014971,MSC SINES R,CRISTINA STAR                                                                               (2020)                          CHRISTINA STAR                                                                               (2010)                          SANTA CRISTINA                                                                               (2010)                          SANTA CRISTINA                                                                               (2009)                          P&O NEDLLOYD BANTAM                                                                               (2005),Container ship,Active,Liberia,37113 tons,39978 tons,243 m,32 m,Sulzer,2001,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",GERMANISCHER LLOYD,MONROVIA,"GOLDENPORT SHIPMANAGEMENT - ATHENS, GREECE","GOLDENPORT SHIPMANAGEMENT - ATHENS, GREECE","MSC SINES R is a Container ship built in 2001 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as CRISTINA STAR, CHRISTINA STAR, SANTA CRISTINA, SANTA CRISTINA, P&O NEDLLOYD BANTAM. It's gross tonnage is 37113 tons.",7RTA-84C,28746 KW
9315018,210283000,WEC DE HOOGH,ELITE                                                                               (2021)                          ELITE                                                                               (2021)                          MSC BATAVE                                                                               (2007)                          HOLLAND MAAS BATAVE                                                                               (2005),Container ship,Active,Cyprus,11662 tons,13716 tons,149 m,22 m,Sulzer,2005,"JJ SIETAS SCHIFFSWERFT - HAMBURG, GERMANY",GERMANISCHER LLOYD,HARLINGEN,"JR SHIPPING - HARLINGEN, NETHERLANDS","JR SHIPPING - HARLINGEN, NETHERLANDS","WEC DE HOOGH is a Container ship built in 2005 by JJ SIETAS SCHIFFSWERFT - HAMBURG, GERMANY. Currently sailing under the flag of Cyprus. Formerly also known as ELITE, ELITE, MSC BATAVE, HOLLAND MAAS BATAVE. It's gross tonnage is 11662 tons.",10RND90,8400 KW
9427641,311000337,TAHOE SPIRIT,KAREKARE                                                                               (2015),Crude oil tanker,Active,Bahamas,83545 tons,156871 tons,274 m,48 m,,2009,"JIANGSU RONGSHENG HEAVY INDUSTRIES - RUGAO, CHINA",AMERICAN BUREAU OF SHIPPING,NASSAU,"HEIDMAR - NORWALK CT, United States (USA)","TMS TANKERS - ATHENS, GREECE","TAHOE SPIRIT is a Crude oil tanker built in 2009 by JIANGSU RONGSHENG HEAVY INDUSTRIES - RUGAO, CHINA. Currently sailing under the flag of Bahamas. Formerly also known as KAREKARE. It's gross tonnage is 83545 tons.",,
9349825,370273000,MSC NURIA,MSC NURIA                                                                               (2020)                          BUXPLACE                                                                               (2008),Container ship,Active,Panama,50963 tons,63377 tons,274 m,32 m,,2008,DAEWOO-MANGALIA HEAVY INDUSTRIES S.A. - MANGALIA (ROU). YARD NO. 4065,GERMANISCHER LLOYD,,,,"MSC NURIA is a Container ship built in 2008 by DAEWOO-MANGALIA HEAVY INDUSTRIES S.A. - MANGALIA (ROU). YARD NO. 4065. Currently sailing under the flag of Panama. Formerly also known as MSC NURIA, BUXPLACE. It's gross tonnage is 50963 tons.",,
9280861,636016204,MSC PRATITI,KOWLOON BAY                                                                               (2021)                          KOWLOON BAY                                                                               (2018)                          PUSAN                                                                               (2017)                          ZIM_PUSAN                                                                               (2014)                          ZIM PUSAN                                                                               (2013)                          ZIM PUSAN                                                                               (2013),Container ship,Active,Liberia,53453 tons,66597 tons,294 m,32 m,MAN-B&W,2004,"HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA",LLOYD'S SHIPPING REGISTER,MONROVIA,"ZODIAC MARITIME - LONDON, United Kingdom (UK)","EASTERN PACIFIC SHIPPING UK - LONDON, U.K.","MSC PRATITI is a Container ship built in 2004 by HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as KOWLOON BAY, KOWLOON BAY, PUSAN, ZIM_PUSAN, ZIM PUSAN, ZIM PUSAN. It's gross tonnage is 53453 tons.",9K90MC-C,41078 KW
9694361,256392000,QUARTZ,"QUAETJ                                                                               (2017, Malta)",Chemical/Oil tanker,Active,Malta,29812 tons,49999 tons,183 m,32 m,,2015,"HYUNDAI VINASHIN SHIPYARD - NINH PHUOC, VIETNAM",,VALLETTA,,,"QUARTZ is a Chemical/Oil tanker built in 2015 by HYUNDAI VINASHIN SHIPYARD - NINH PHUOC, VIETNAM. Currently sailing under the flag of Malta. Formerly also known as QUAETJ. It's gross tonnage is 29812 tons.",,
9695016,636016305,MSC ALINA,SKYROS                                                                               (2021)                          UASC TABUK                                                                               (2017),Container ship,Active,Liberia,94930 tons,112171 tons,299 m,48 m,,2014,"HYUNDAI SAMHO HEAVY INDUSTRIES CO. LTD. - SAMHO, SOUTH KOREA",AMERICAN BUREAU OF SHIPPING,MONROVIA,"INTERNATIONAL MARITIME ENTERPRISE - MONROVIA, LIBERIA","INTERNATIONAL MARITIME ENTERPRISE - MONROVIA, LIBERIA","MSC ALINA is a Container ship built in 2014 by HYUNDAI SAMHO HEAVY INDUSTRIES CO. LTD. - SAMHO, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as SKYROS, UASC TABUK. It's gross tonnage is 94930 tons.",,
9235050,351473000,MSC ALYSSA,,Container ship,Active,Panama,43575 tons,61487 tons,273 m,32 m,Sulzer,2001,"HANJIN HEAVY INDUSTRIES CO. LTD. - BUSAN, SOUTH KOREA",GERMANISCHER LLOYD,Panama,"MEDITERRANEAN SHIPPING - SORRENTO, ITALY","MEDITERRANEAN SHIPPING - SORRENTO, ITALY","MSC ALYSSA is a Container ship built in 2001 by HANJIN HEAVY INDUSTRIES CO. LTD. - BUSAN, SOUTH KOREA. Currently sailing under the flag of Panama. It's gross tonnage is 43575 tons.",8RTA-84C,32895 KW
9605279,229626000,MSC AMALFI,,Container ship,Active,Malta,94402 tons,112359 tons,299 m,48 m,,2014,"JIANGNAN CHANGXING SHIPBUILDING - SHANGHAI, CHINA",GERMANISCHER LLOYD,VALLETTA,"COSTAMARE SHIPPING - ATHENS, GREECE","COSTAMARE SHIPPING - ATHENS, GREECE","MSC AMALFI is a Container ship built in 2014 by JIANGNAN CHANGXING SHIPBUILDING - SHANGHAI, CHINA. Currently sailing under the flag of Malta. It's gross tonnage is 94402 tons.",,
9503512,263624000,CASTELO DE SINES,CASTELO DE SINES                                                                               (2013),Other,Active,Portugal,455 tons,304 tons,30 m,11 m,,2009,"UZMAR SHIPYARD - IZMIT, TURKEY",AMERICAN BUREAU OF SHIPPING,SINES,"REBOPORT - SETUBAL, PORTUGAL","REBOPORT - SETUBAL, PORTUGAL","CASTELO DE SINES is a Other built in 2009 by UZMAR SHIPYARD - IZMIT, TURKEY. Currently sailing under the flag of Portugal. Formerly also known as CASTELO DE SINES. It's gross tonnage is 455 tons.",,
9581007,271043022,DUZGIT ENDEAVOUR,"DUZGIT                                                                               (2013, Turkey)",Chemical/Oil tanker,Active,Turkey,10276 tons,15995 tons,155 m,21 m,B&W,2013,"DUZGIT YALOVA SHIPBUILDING INDUSTRY - ALTINOVA, TURKEY",BUREAU VERITAS,ISTANBUL,"DUZGIT SHIPBUILDING INDUSTRY - ISTANBUL, TURKEY","DUZGIT SHIPBUILDING INDUSTRY - ISTANBUL, TURKEY","DUZGIT ENDEAVOUR is a Chemical/Oil tanker built in 2013 by DUZGIT YALOVA SHIPBUILDING INDUSTRY - ALTINOVA, TURKEY. Currently sailing under the flag of Turkey. Formerly also known as DUZGIT. It's gross tonnage is 10276 tons.",12K98MC,
9277943,257309000,CLIPPER SKY,"CLIPVER SCYP                                                                               (2018, Norway)                          ALXPPAR SKY                                                                               (2018, Norway)                          CLI                                                                               (2017, Norway)                          CLIPPER S                                                                               (2013, Norway)",LPG carrier,Active,Norway,35158 tons,44807 tons,205 m,32 m,,2004,"KAWASAKI SAKAIDE WORKS - SAKAIDE, JAPAN",DET NORSKE VERITAS,STAVANGER,"SOLVANG - STAVANGER, NORWAY","SOLVANG - STAVANGER, NORWAY","CLIPPER SKY is a LPG carrier built in 2004 by KAWASAKI SAKAIDE WORKS - SAKAIDE, JAPAN. Currently sailing under the flag of Norway. Formerly also known as CLIPVER SCYP, ALXPPAR SKY, CLI, CLIPPER S. It's gross tonnage is 35158 tons.",,11275 KW
9279977,357405000,MSC POH LIN,"MPC POH LIN                                                                               (2018, Panama)",Container ship,Active,Panama,54774 tons,66786 tons,294 m,32 m,,2004,"HYUNDAI SAMHO HEAVY INDUSTRIES CO. LTD. - MOKPO, SOUTH KOREA",GERMANISCHER LLOYD,Panama,,,"MSC POH LIN is a Container ship built in 2004 by HYUNDAI SAMHO HEAVY INDUSTRIES CO. LTD. - MOKPO, SOUTH KOREA. Currently sailing under the flag of Panama. Formerly also known as MPC POH LIN. It's gross tonnage is 54774 tons.",,
9770749,636019021,MSC BIANCA,,Container ship,Active,Liberia,112695 tons,128432 tons,328 m,48 m,,2019,,,MONROVIA,,,MSC BIANCA is a Container ship built in 2019. Currently sailing under the flag of Liberia. It's gross tonnage is 112695 tons.,,
9316103,277562000,SONATA,HANSE FORTUNE                                                                               (2020)                          HANSE FORTUNE                                                                               (2019)                          STADT GOSLAR                                                                               (2011)                          DELMAS KAREE                                                                               (2007)                          DELMAS KAREE                                                                               (2007),Container ship,Active,Lithuania,9957 tons,13715 tons,147 m,23 m,B&W,2006,"JINLING SHIPYARD - NANJING, CHINA",GERMANISCHER LLOYD,SAINT JOHN'S,"THODE JOHS - HAMBURG, GERMANY","THODE JOHS - HAMBURG, GERMANY","SONATA is a Container ship built in 2006 by JINLING SHIPYARD - NANJING, CHINA. Currently sailing under the flag of Lithuania. Formerly also known as HANSE FORTUNE, HANSE FORTUNE, STADT GOSLAR, DELMAS KAREE, DELMAS KAREE. It's gross tonnage is 9957 tons.",6S50MC,9730 KW
9309447,371752000,MSC RANIA,"MSC RAH                                                                               (2012, Panama)",Container ship,Active,Panama,94489 tons,114108 tons,331 m,43 m,,2005,"DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - SEOUL, SOUTH KOREA",GERMANISCHER LLOYD,,"MSC MEDITERRANEAN SHIPPING - GENEVA, SWITZERLAND","MEDITERRANEAN SHIPPING - SORRENTO, ITALY","MSC RANIA is a Container ship built in 2005 by DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - SEOUL, SOUTH KOREA. Currently sailing under the flag of Panama. Formerly also known as MSC RAH. It's gross tonnage is 94489 tons.",,
9065443,356864000,MSC ROSSELLA,MSC ROSSELLA                                                                               (2017)                          VILLE DE CARINA                                                                               (1997)                          HANSE EUROPE                                                                               (1993)                          MSC R,Container ship,Active,Panama,37398 tons,43605 tons,242 m,32 m,Sulzer,1993,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",GERMANISCHER LLOYD,Panama,,,"MSC ROSSELLA is a Container ship built in 1993 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Panama. Formerly also known as MSC ROSSELLA, VILLE DE CARINA, HANSE EUROPE, MSC R. It's gross tonnage is 37398 tons.",7RTA-84C,26772 KW
9399349,533051500,BUNGA ANGSANA,"BUNGA 8                                                                               (2018, Malaysia)",Chemical/Oil tanker,Active,Malaysia,25613 tons,38001 tons,180 m,32 m,,2010,"STX OFFSHORE & SHIPBUILDING CO. LTD. - JINHAE, SOUTH KOREA",NIPPON KAIJI KYOKAI (NKK),PORT KLANG,"MISC - KUALA LUMPUR, MALAYSIA","MISC - KUALA LUMPUR, MALAYSIA","BUNGA ANGSANA is a Chemical/Oil tanker built in 2010 by STX OFFSHORE & SHIPBUILDING CO. LTD. - JINHAE, SOUTH KOREA. Currently sailing under the flag of Malaysia. Formerly also known as BUNGA 8. It's gross tonnage is 25613 tons.",,
9727546,538005782,HAFNIA ADAMITE,NAVIG8 ADAMITE                                                                               (2022)                          HYUNDAI MIPO 2542,Chemical/Oil tanker,Active,Marshall Islands,23676 tons,38506 tons,184 m,27 m,MAN-B&W,2015,"HYUNDAI MIPO DOCKYARD CO. LTD. - ULSAN, SOUTH KOREA",AMERICAN BUREAU OF SHIPPING,,NAVIG CHEMICALS ASIA - SINGAPORE,"NAVIG8 CHEMICALS - WESTPORT CT, United States (USA)","HAFNIA ADAMITE is a Chemical/Oil tanker built in 2015 by HYUNDAI MIPO DOCKYARD CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Marshall Islands. Formerly also known as NAVIG8 ADAMITE, HYUNDAI MIPO 2542. It's gross tonnage is 23676 tons.",6S50ME-B9,7290 KW
9326768,441552000,NORTH BRIDGE,NORTH BRIDGE                                                                               (2019)                          CONTI ANPING                                                                               (2013)                          CONTI ANP                                                                               (2012)                          YM ANPING                                                                               (2011),Container ship,Active,South Korea,41896 tons,53627 tons,264 m,32 m,B&W,2006,"HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA",GERMANISCHER LLOYD,,"SINOKOR MERCHANT MARINE - SEOUL, SOUTH KOREA","SINOKOR MERCHANT MARINE - SEOUL, SOUTH KOREA","NORTH BRIDGE is a Container ship built in 2006 by HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of South Korea. Formerly also known as NORTH BRIDGE, CONTI ANPING, CONTI ANP, YM ANPING. It's gross tonnage is 41896 tons.",8K90MC,36525 KW
9702261,255806499,MSC SARA ELENA,MSC SARA ELENA                                                                               (2021),Container ship,Active,Portugal,96331 tons,109778 tons,300 m,48 m,MAN-B&W,2015,"DALIAN SHIPBUILDING INDUSTRY GROUP - DALIAN, CHINA",,,"CHINA INTERNATIONAL MARINE CONTAINERS GROUP - SHENZHEN, CHINA","CHINA INTERNATIONAL MARINE CONTAINERS GROUP - SHENZHEN, CHINA","MSC SARA ELENA is a Container ship built in 2015 by DALIAN SHIPBUILDING INDUSTRY GROUP - DALIAN, CHINA. Currently sailing under the flag of Portugal. Formerly also known as MSC SARA ELENA. It's gross tonnage is 96331 tons.",9S90ME,47430 KW
9318187,636013143,GENOVA,"ZIM GENOVA                                                                               (2019, Liberia)                          ZIM GEH                                                                               (2012, Liberia)",Container ship,Active,Liberia,39906 tons,50532 tons,260 m,32 m,B&W,2007,"DALIAN SHIPBUILDING INDUSTRY GROUP - DALIAN, CHINA",LLOYD'S SHIPPING REGISTER,MONROVIA,"XT MANAGEMENT - HAIFA, ISRAEL","XT MANAGEMENT - HAIFA, ISRAEL","GENOVA is a Container ship built in 2007 by DALIAN SHIPBUILDING INDUSTRY GROUP - DALIAN, CHINA. Currently sailing under the flag of Liberia. Formerly also known as ZIM GENOVA, ZIM GEH. It's gross tonnage is 39906 tons.",8K90MC-C,36560 KW
9337391,372939000,ATHENS VOYAGER,BM BONANZA                                                                               (2018),Crude oil tanker,Active,Panama,56172 tons,105614 tons,237 m,42 m,,2007,"SUMITOMO HEAVY INDUSTRIES - TOKYO, JAPAN",LLOYD'S SHIPPING REGISTER,Panama,"DOUN KISEN - IMABARI, JAPAN","DOUN KISEN - IMABARI, JAPAN","ATHENS VOYAGER is a Crude oil tanker built in 2007 by SUMITOMO HEAVY INDUSTRIES - TOKYO, JAPAN. Currently sailing under the flag of Panama. Formerly also known as BM BONANZA. It's gross tonnage is 56172 tons.",,
9670949,219511000,NORD GARDENIA,,Chemical/Oil tanker,Active,Denmark,25028 tons,39999 tons,183 m,30 m,,2014,"GUANGZHOU INTERNATIONAL SHIPYARD - GUANGZHOU, CHINA",DET NORSKE VERITAS,HELLERUP,"NORDEN - HELLERUP, DENMARK","NORDEN - HELLERUP, DENMARK","NORD GARDENIA is a Chemical/Oil tanker built in 2014 by GUANGZHOU INTERNATIONAL SHIPYARD - GUANGZHOU, CHINA. Currently sailing under the flag of Denmark. It's gross tonnage is 25028 tons.",,
9279965,354415000,MSC FABIENNE,,Container ship,Active,Panama,54774 tons,66694 tons,294 m,32 m,,2004,"HYUNDAI SAMHO HEAVY INDUSTRIES CO. LTD. - MOKPO, SOUTH KOREA",GERMANISCHER LLOYD,Panama,,,"MSC FABIENNE is a Container ship built in 2004 by HYUNDAI SAMHO HEAVY INDUSTRIES CO. LTD. - MOKPO, SOUTH KOREA. Currently sailing under the flag of Panama. It's gross tonnage is 54774 tons.",,
9707194,249714000,EPIC ST.IVAN,,LPG carrier,Active,Malta,4749 tons,5169 tons,99 m,17 m,,2015,"KITANIHON SHIPBUILDING - HACHINOHE, JAPAN",NIPPON KAIJI KYOKAI (NKK),VALLETTA,EPIC PANTHEON INTERNATIONAL GAS SHIPPING - SINGAPORE,EPIC PANTHEON INTERNATIONAL GAS SHIPPING - SINGAPORE,"EPIC ST.IVAN is a LPG carrier built in 2015 by KITANIHON SHIPBUILDING - HACHINOHE, JAPAN. Currently sailing under the flag of Malta. It's gross tonnage is 4749 tons.",,
9147071,636016492,MSC SAO PAULO,"MSS AO PAULO                                                                               (2017, Antarctica)                          MSC SAO PAULO                                                                               (2017, Liberia)                          POHANG                                                                               (2013, Gibraltar)                          CSAV PYRENEES                                                                               (2013, Gibraltar)                          CSAV PYRENEE                                                                               (2013, Germany)                          POHANG SENATOR                                                                               (2008)",Container ship,Active,Liberia,53324 tons,63537 tons,294 m,32 m,B&W,1998,"HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA",GERMANISCHER LLOYD,MONROVIA,"MSC MEDITERRANEAN SHIPPING - GENEVA, SWITZERLAND","MSC MEDITERRANEAN SHIPPING - GENEVA, SWITZERLAND","MSC SAO PAULO is a Container ship built in 1998 by HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as MSS AO PAULO, MSC SAO PAULO, POHANG, CSAV PYRENEES, CSAV PYRENEE, POHANG SENATOR. It's gross tonnage is 53324 tons.",9k90mc,41040 KW
9169122,636017581,MSC ANNICK,MSC ANNICK                                                                               (2016)                          MARE SUPERUM                                                                               (2013)                          MARE SUPERUM                                                                               (2012)                          MARE SP                                                                               (2012)                          MAERSK TIRANA                                                                               (2010)                          DALIAN EXPRESS                                                                               (2007)                          P&O NEDLLOYD CARTAGE                                                                               (2005)                          ELBE BRIDGE                                                                               (2004)                          MARE SUPERNUM                                                                               (1998),Container ship,Active,Liberia,40792 tons,52329 tons,260 m,32 m,Sulzer,1998,"HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA",GERMANISCHER LLOYD,MONROVIA,"CHARTWORLD SHIPPING - ATHENS, GREECE","MSC SHIPMANAGEMENT CYPRUS - LIMASSOL, CYPRUS","MSC ANNICK is a Container ship built in 1998 by HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as MSC ANNICK, MARE SUPERUM, MARE SUPERUM, MARE SP, MAERSK TIRANA, DALIAN EXPRESS, P&O NEDLLOYD CARTAGE, ELBE BRIDGE, MARE SUPERNUM. It's gross tonnage is 40792 tons.",9RTA-84C,38000 KW
9295531,304474000,PEYTON LYNN C,GESINA SCHEPERS                                                                               (2021)                          EEMSDIJK                                                                               (2018)                          EEMSDIJK                                                                               (2017),Container ship,Active,Antigua & Barbuda,9909 tons,12193 tons,140 m,23 m,MAK,2007,"JES INTERNATIONAL - JINGJIANG, CHINA",GERMANISCHER LLOYD,GRONINGEN,"NAVIGIA SHIPMANAGEMENT - GRONINGEN, NETHERLANDS","NAVIGIA SHIPMANAGEMENT - GRONINGEN, NETHERLANDS","PEYTON LYNN C is a Container ship built in 2007 by JES INTERNATIONAL - JINGJIANG, CHINA. Currently sailing under the flag of Antigua & Barbuda. Formerly also known as GESINA SCHEPERS, EEMSDIJK, EEMSDIJK. It's gross tonnage is 9909 tons.",,9000 KW
9071246,263601650,MONFORTE,MONTJOI                                                                               (2006),Other,Active,Portugal,270 tons,131 tons,27 m,9 m,,1995,"ASTILLEROS ZAMAKONA PASAIA - PASAJES, SPAIN",,,,,"MONFORTE is a Other built in 1995 by ASTILLEROS ZAMAKONA PASAIA - PASAJES, SPAIN. Currently sailing under the flag of Portugal. Formerly also known as MONTJOI. It's gross tonnage is 270 tons.",,
9167942,249096000,MERITO,CASCADE                                                                               (2003)                          SIGGA SIF                                                                               (2002)                          NORASIA HAMBURG                                                                               (2000)                          SIGGA SIF                                                                               (1999)                          P&O NEDLLOYD MAHE                                                                               (1999)                          SIGGA SIF                                                                               (1998),Container ship,Active,Malta,11925 tons,14332 tons,149 m,23 m,MAN-B&W,1998,"EDWARD SHIPYARD - SHANGHAI, CHINA",GERMANISCHER LLOYD,VALLETTA,"WORDEN SCHIFFAHRTKONTOR - OLDENDORF, GERMANY","WORDEN SCHIFFAHRTKONTOR - OLDENDORF, GERMANY","MERITO is a Container ship built in 1998 by EDWARD SHIPYARD - SHANGHAI, CHINA. Currently sailing under the flag of Malta. Formerly also known as CASCADE, SIGGA SIF, NORASIA HAMBURG, SIGGA SIF, P&O NEDLLOYD MAHE, SIGGA SIF. It's gross tonnage is 11925 tons.",6S60ME,10400 KW
9720457,255806506,MSC SILVIA,MSC SILVIA                                                                               (2021),Container ship,Active,Portugal,95514 tons,110697 tons,299 m,48 m,MAN-B&W,2015,"JIANGNAN CHANGXING SHIPBUILDING - SHANGHAI, CHINA",GERMANISCHER LLOYD,,"MSC SHIPMANAGEMENT CYPRUS - LIMASSOL, CYPRUS","MSC SHIPMANAGEMENT CYPRUS - LIMASSOL, CYPRUS","MSC SILVIA is a Container ship built in 2015 by JIANGNAN CHANGXING SHIPBUILDING - SHANGHAI, CHINA. Currently sailing under the flag of Portugal. Formerly also known as MSC SILVIA. It's gross tonnage is 95514 tons.",9S90ME,52290 KW
9699517,257695000,CLIPPER SATURN,,LPG carrier,Active,Norway,37366 tons,42543 tons,199 m,33 m,MAN-B&W,2015,"HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA",DET NORSKE VERITAS,STAVANGER,"SOLVANG - STAVANGER, NORWAY","SOLVANG - STAVANGER, NORWAY","CLIPPER SATURN is a LPG carrier built in 2015 by HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Norway. It's gross tonnage is 37366 tons.",5S60ME-C,9350 KW
